term,tfidf_score
thx,0.004760814143682002
happens,0.004735339853613791
download,0.0047273600939487445
different,0.0047087068085545514
chrome,0.004690605283933939
instead,0.004640903844943303
mobile,0.004618788965639883
say,0.004598991880215052
reinstalled,0.004597103804275141
idea,0.004532004467478137
latest,0.004524676282426239
times,0.004524134591310629
haha,0.004517373753028461
long,0.0044728324725650526
country,0.004460946783422628
artists,0.004440353906551972
restarted,0.0044339865870529575
way,0.0044221005367832775
looks,0.004375099585578244
keeps,0.0043616830535474615
reinstalling,0.004344043379538245
just tried,0.004256003808426879
user spotify,0.004250898420321003
able,0.00422351703351405
ad,0.004211591818118253
ago,0.004204301164139617
happy,0.004190586471683715
week,0.004187481124198282
awesome,0.004146483847817312
okay,0.004143009875855236
home,0.004119772590133156
list,0.004109409263500574
user samsung,0.004106198833337717
playing,0.004054934023037629
happening,0.004044931430997959
deleted,0.004032980363112165
user sent,0.0040097214227294365
answer,0.003993709437926374
mode,0.003978183795673426
didn work,0.003976138394316621
error message,0.0039637049676769405
sorted,0.003962232348409011
fixed,0.003960073266653198
asking,0.0039598853665075776
track,0.003955374713758548
month,0.003953296974822372
plays,0.003907114904967596
lol,0.0039047588681931015
voted,0.0039001173487564116
option,0.003896950908447805
people,0.003891439039172086
user play,0.00388959984303787
user did,0.0038835073774404214
user hope,0.003879664433423876
bit,0.003849611070867878
helpful,0.003846796245909001
gone,0.0038328015852388585
days,0.0038264465172629276
data,0.003821267400595976
years,0.00382036588877913
hasn,0.003818363816308675
apps,0.003795165031400101
screen,0.0037918225108018897
artist,0.003788743896653221
stuck,0.0037798825417693863
computer,0.003772460012584842
user really,0.003771225269792059
file,0.00371992968625043
roku,0.0037078451339353355
company,0.003697223424483138
emails,0.0036933926231556475
11 spotify,0.0036901171050505673
issues,0.003676152336696217
22,0.003674478388176779
saying,0.00366287281172049
package,0.003661031824807189
worth,0.0036419723810510217
tell,0.0036368969404238765
sign,0.003615498963300548
user yeah,0.0036142525659446324
yeah,0.0036142525659446324
miss,0.003596011291878574
doesnt,0.003593059544564556
spotify app,0.0035795348850161997
day,0.003573417804584282
annoying,0.003569033223634652
newest,0.0035466159489032124
connection,0.003546138390040469
page,0.0035324669789694946
make,0.0035246106845224128
cache,0.0035089432800718377
user sorry,0.003503250605807173
user app,0.0034777307576457374
saved,0.0034726568089420594
password,0.0034616798626873804
stops,0.003457969131148715
set,0.0034516504362877153
usually,0.0034388856778561068
log,0.0034224826118927597
currently,0.003420943187617799
settings,0.003415308902492067
search,0.003414150964956254
send,0.003411739001875961
alright,0.003409940761302299
login,0.003369802399038508
limit,0.0033273992169184177
stop,0.003311819441861113
user lol,0.0033018645979934606
second,0.0033004590642328473
site,0.0032865004047056166
place,0.0032809461226935457
today,0.0032752100381716453
card,0.003239602584975264
local,0.0032279510338143382
cool,0.0032151189391083947
having,0.0032048691958829843
actually,0.0031983914389376476
press,0.003195415553602555
isn,0.00319060795722866
running android,0.003187763455356652
im,0.0031509596985650305
quite,0.003146939691140777
reset,0.003142702695577483
similar,0.003129944662802495
open,0.0031190537560538785
random,0.003114803083562871
user doesn,0.003108557658656149
content,0.0030956254299510525
user voted,0.0030879119525699505
options,0.0030727901760130598
restart,0.0030628576918822334
said,0.0030551875563422054
care,0.003024635706653591
user good,0.003003243398299533
devices,0.002999397290225121
click,0.0029979143718231907
solved,0.002985676146675666
says,0.0029641030066976273
won,0.0029388438283278313
user yep,0.0029285550932796707
yep,0.0029285550932796707
tracks,0.0029268192902882455
os,0.0029266939804547844
28,0.0029258014047583067
user update,0.0029073514791359816
user looks,0.0028925808064569113
galaxy,0.002871029517289982
don know,0.0028538948993541173
thread,0.0028499889851665156
just want,0.002841908569340487
mac,0.0028378693280601613
12,0.0028082968986351746
10 12,0.0028082968986351746
uninstalled,0.0028068039808634686
morning,0.002802648429052911
lot,0.0027942646784074186
yup,0.0027661490406179273
user yup,0.0027661490406179273
coming,0.0027558639368528764
internet,0.0027491594765640657
99,0.0027448374002808917
unfortunately,0.0027273223373676008
25,0.0027102402758451515
ve tried,0.0026924790288664897
user works,0.002678860769951799
user keeps,0.0026672339297465824
thanks reply,0.002663096914344595
started,0.0026620683138046837
high,0.00265469432017209
prefer,0.0026202397644403894
looks like,0.002619504276057327
result,0.0026164168591930135
online,0.0026161470339535124
apple music,0.002613951375558164
apple,0.002613951375558164
subscription,0.0026073592011657326
delete,0.002593068620873947
soon,0.0025879789552459976
form,0.002578417446989588
doesn help,0.0025714014875004285
support,0.0025681439645624977
guess,0.0025475459010219385
completely,0.002540655814323389
wanted,0.002513599010124675
longer,0.00250059549017789
looking,0.002496708492139828
ages,0.0024892012634492844
plus,0.0024860297212976235
deleted app,0.0024848134666381645
point,0.002472793213532455
nice,0.0024713258701665637
android spotify,0.002467187051123099
don want,0.002442484500473437
win,0.0024315312025213506
messages,0.002430512938807134
love,0.0024112636020596134
properly,0.0023989162937057412
65 320,0.0023981673137399174
gac7a8e02,0.0023981673137399174
65,0.0023981673137399174
320,0.0023981673137399174
320 gac7a8e02,0.0023981673137399174
feels,0.0023980199391786944
nexus,0.002393618096826711
26,0.002371297255453477
shows,0.0023708455378452157
trying,0.0023057716574389235
22 515,0.0022943863221222996
515,0.0022943863221222996
changed,0.0022888204312033777
web,0.002239313954745531
user able,0.002227421795817879
real,0.0021967003508225726
specific,0.002184883222108835
hey,0.0021846592618297985
user hey,0.0021846592618297985
yes tried,0.002182460140892543
user error,0.0021685023350314094
local file,0.0021524425640392602
pro,0.002138906172239359
macbook pro,0.002138906172239359
macbook,0.002138906172239359
switch,0.0021279393437557597
67,0.002036693975789691
67 582,0.002036693975789691
582,0.002036693975789691
582 g19436fa3,0.002036693975789691
g19436fa3,0.002036693975789691
offline mode,0.001998874291972376
